,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00 - 01:30,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга
01:30 - 03:00,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга
03:00 - 04:30,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга
04:30 - 06:00,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга
06:00 - 07:30,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга
07:30 - 09:00,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга
09:00 - 10:30,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга
10:30 - 12:00,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга
12:00 - 13:30,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга
13:30 - 15:00,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга,1-ша черга,2-га черга,3-тя черга
